8,573364,1.0
8,2149668,3.0
8,1089184,3.0
8,2465894,3.0
8,534508,1.0
8,992921,4.0
8,595054,4.0
8,1298304,4.0
8,1661600,4.0
8,553787,2.0
8,1309839,3.0
8,727242,1.0
8,1437668,4.0
8,2170930,1.0
8,1780876,5.0
8,9660,3.0
8,2379200,4.0
8,563186,5.0
8,1539617,4.0
8,1656839,1.0
8,2591126,4.0
8,2455107,3.0
8,1079943,5.0
8,2308589,4.0
8,254671,4.0
8,2633545,3.0
8,1589111,2.0
8,320540,4.0
8,1769901,3.0
8,155279,3.0
8,2448620,3.0
8,1922607,3.0
8,1388257,3.0
8,613651,4.0
8,900685,3.0
8,1962892,4.0
8,1588471,5.0
8,152955,3.0
8,1071775,3.0
8,2490049,2.0
8,1029578,4.0
8,1116113,4.0
8,400756,2.0
8,1181035,5.0
8,2596310,1.0
8,1716520,2.0
8,450465,3.0
8,927007,4.0
8,1703380,3.0
8,448155,4.0
8,1598457,2.0
8,807237,3.0
8,1089865,3.0
8,1917585,3.0
8,760129,4.0
8,500322,3.0
8,1403170,1.0
8,1631898,2.0
8,1088920,4.0
8,1216843,1.0
8,394189,2.0
8,1473381,5.0
8,803330,4.0
8,1695799,4.0
8,556100,5.0
8,1557449,4.0
8,2090369,3.0
8,2152930,2.0
8,1335436,4.0
8,1466743,5.0
8,264988,3.0
8,1471593,2.0
8,1288346,1.0
8,867716,1.0
8,2160334,2.0
8,2554933,3.0
8,1483852,5.0
8,1581954,4.0
8,1785017,2.0
8,1265606,3.0
8,1213065,3.0
8,898979,1.0
8,1490775,4.0
8,2076079,1.0
8,637631,3.0
8,1970495,3.0
8,1962300,2.0
8,157806,4.0
8,1939221,3.0
8,964306,3.0
8,903378,3.0
8,517335,1.0
8,2406002,3.0
8,112790,3.0
8,2051123,4.0
8,1297899,4.0
28,991725,3.0
28,2628220,4.0
28,946314,4.0
28,2370740,4.0
28,1100912,4.0
28,603277,3.0
28,1060605,3.0
28,318939,3.0
28,769887,4.0
28,2280025,3.0
28,1041757,4.0
28,1554601,4.0
28,1686741,4.0
28,2482204,2.0
28,87184,1.0
28,2288531,3.0
28,2059898,3.0
28,603908,5.0
28,834267,3.0
28,2041009,1.0
28,318032,5.0
28,1705674,4.0
28,1645535,4.0
28,2385364,3.0
28,1890303,5.0
28,2487958,3.0
28,538214,3.0
28,473516,4.0
28,2354829,3.0
28,1681133,4.0
28,820785,3.0
28,375726,3.0
28,318449,5.0
28,1422763,4.0
28,2039201,3.0
28,686510,4.0
28,1242044,5.0
28,1388216,4.0
28,2566515,3.0
28,2535930,4.0
28,1375880,4.0
28,1553047,3.0
28,2504747,4.0
28,2143870,3.0
28,940264,3.0
28,281729,4.0
28,1449107,4.0
28,303821,3.0
28,1014928,5.0
28,437485,4.0
28,1571932,1.0
28,2046079,3.0
28,830282,5.0
28,2524846,3.0
28,2554750,5.0
28,1563429,3.0
28,1518963,5.0
28,2239625,2.0
28,1496080,4.0
28,2592938,4.0
28,2398509,5.0
28,2470054,5.0
28,393730,3.0
28,1941368,4.0
28,1624667,4.0
