negative, "didn't get shit done today ~ i'm so screwed "
negative, "gr8t my face is very itchy "
negative, "FML: So much for seniority, bc of technological ineptness, I now have to &quot;register&quot; for classes AGAIN "
negative, "@JonathanRKnight Oh! Did I mention it? &quot;Gooooood Moooorniiiiiiing&quot;  from Germany! Im back in my cage....or better...my office "
negative, "Home from Franklin street, I almost jumped over a fire. Someone kicked it before I could.  Jenny lost her shoe."
negative, "@ddlovato @David_Henrie ummmmm i cant find it. "
negative, "has a huuuge headache! omg I feel like crap! "
negative, "@katebornstein which is pretty anti memorial tattoos   but for all but the strictest, there's no official BAN, just disapproving family"
negative, "What? Apparently it's 52 degress at 11pm in Washington State. I miss winter already "
negative, "@SLessard But, but, but . . I wanna listen to the masters too!  "
negative, "my poor little girl has a baaaad rash on her bum and isnt feeling good "
negative, "feels like crying that's how sick i feel "
negative, "Won't be tweeting much tonight   Maybe all tweets will come out in form of Tweet vomit later at about 1 in the morning."
negative, "damn its down. "
negative, "@rachaelyamagata You were amazing Rach! Thank you for the music! I waited outside but you never showed up!  There's always the next album!"
negative, "I am going to be 30 in a month...  Ugh "
negative, "Too much traffic on the A2  Can't wait till all 10 lanes are ready ... 2010?"
negative, "@geoffmartinez youre going to be in mexico on easter?  why?"
negative, "I am layin in bed @ 3am cos my tummy is beatboxn so bd so I hd 2 wake up. can't eat. Unburnable calories nt gd for my &quot;abs&quot; I am hungry! "
negative, "@hebb I wish I could go to bed... "
negative, "doesnt  want to go to work lol "
negative, "http://twitpic.com/2y65i - Snow, the guy I'm seeing car at work...lmao...he gonna kill me "
negative, "@catdevnull nah, same one, rang up to see what progress was, someone else has offered but been rejected, they reckon 117-118+ to get it "
negative, "i'm hella breaking out "
negative, "LISTEN TO JONAS BROTHERS i love this band but i come from germany and i can�t see them "
negative, "@mattg00d i dont like you not having internet. You dont tweet as much. "
negative, "Its a grey day in London come back sun all is forgiven "
negative, "@alystoe  I hope you are okay"
negative, "working at home "
negative, "Man! Did I had a wacky dream this early morning .... loggin here ... looks like ATS is spamming me with updates "
negative, "is off to Italy today! No more Starcraft for a couple of weeks though "
negative, "Working rite now, but have a MASSIVE Headache building, and feeling very sick.  ."
negative, "@moony394 LOL ugh that's so ominous, i hope i don't have to cry over idol this week too. fox hates me "
negative, "Oh man, I can't find a Tenori-On anywhere! What am I going to do?! "
negative, "Andre Riue on neighbours..what has the world come to...internets down  lol"
negative, "soluna is slower than accord "
negative, "@theletterj Couldn't agree more. People keep stealing my elastic band ball "
negative, "wants &quot;someone&quot; to come over here "
negative, "I am still suffering from a headache which has been with me since yesterday afternoon. Feels like my head is in a vice  Not pleasant."
negative, "@Sixxjohn I'm the worst I know  but I'll be back soon"
negative, "@ivyclark - the name was ironic when first used (10/2/04), and it stuck (now over 5 years later). Of course, all irony is lost in time "
negative, "still feeling almost entirely overwhelmed by an uncomfortable desire for swift and violent revenge "
negative, "Had another amazing night with Tyler :* now off to work .... gotta make coffee for the early birds "
negative, "@aaamyzing well I hate alabaster "
negative, "@JohnGreenaway o that's fantastic. i hate timesheets, but they are forcing me to do them now "
negative, "just after waking up.. Im tired "
negative, "off to class... "
negative, "@Schofe are you and fern going to be on together soon? i miss your banter "
negative, "@weirdchina I hope you realize that your website is blocked by China.. I live in Wuhan and have to proxy in to your site "
negative, "@bramstadhouders It's easier to feel connected through mutual pain. It's closer to the general level of consciousness of most people.. "
negative, "I'm sick...   Those little dudes from the Mucinex commerials are throwing a party in my chest."
negative, "Ew the snow is still here! i have school today! "
negative, "@mformarie  causing a lot of trouble on this end too! "
negative, "god damn...these hurt ribs are seriously cramping my exercise style. "
negative, "mai thi communication system m� ch?a c� h?c ???c ch? n�o h?t, ch?c l?i f?i n?p gi?y tr?ng nh? h�m thi m�n Anten qu�,  :'&lt;"
negative, "@scroobiuspip you have my name.  it has made me very sad. I wanted to be twitter.com/scroobiuspip"
negative, "im sooo friggin borreeeed "
negative, "@lelebelle at this rate it's hard to tell when I'll get to  I feel asleep watching the so from 2 weeks ago! Not the shows fault though."
negative, "School again... "
negative, "I love the love the love loves me,but that guy i love don't loves me "
negative, "Sick, i guess no FTSK show tonight. "
negative, "Sick as shit.  I really want to drink some water. :/"
negative, "@dtoews you'll have to wait a few more months... the backyard is still snowy. "
negative, "version near where I live. "
negative, "@joyanne Thanks...   Also: argh. And gah. And a bit of meh."
negative, "Nooooo it's too early to be up  I blame this on roscos little showdown with his water dish he just had."
negative, "@kidsrback  I agree with you there, have you seen the prices of places to go?, I'm sure they bump up the prices over the kids hols "
negative, "@Casarina It's snowing today, like full Christmas kind of snow "
negative, "Hmm I'm trying to upload my picture but it isn't working "
negative, "Cat has an appt this afternoon at 3:45. She ate a little this morning. She's hiding right now. I'm worried. "
negative, "My printer / scanner / copier in on the fritz "
negative, "okay okay, I shall go to sleeo nowwww  Mom, could you please stop nagging me???"
negative, "@mannyenc i missed my first class too. well... i'm going to. LOL i have too much stuff to do.  i'm really scard about my grades for this"
negative, "despite a 14 hr sleep, i am already starting to fade this morning. i think i might have gotten sick on the flight home... "
negative, "@murri ohh!! I've been there (Old Spaghetti Factory)!! 'Cept it's been about 20 years... "
negative, "Feeling awful, not hangover ill but ILL and what am i doing for the rest of the day? Working "
negative, "&quot;Pack&quot; the duckling found safe but his webbed feet have been cut and a new one will still have to be made.  http://is.gd/rdfK"
negative, "@flipmcneil lol slim goodbody?? I wanna see that pic! and for some reason I keep missing your @ replies to me "
negative, "@jfuzell omg.this is the horrible mindset i've been having for a month now.  hope u r doing well! o &amp; enjoy ur weather. its snowing here "
negative, "@Zee For example, it simply won't send direct messages. Well, it will pretend it did, but it actually doesn't. Kind of a deal breaker "
negative, "@LadyLeamy Are you gonna actually spend anytime with me? I'm moving this weekend "
