negative, "didn't get shit done today ~ i'm so screwed "
negative, "gr8t my face is very itchy "
negative, "FML: So much for seniority, bc of technological ineptness, I now have to &quot;register&quot; for classes AGAIN "
negative, "@ddlovato @David_Henrie ummmmm i cant find it. "
negative, "has a huuuge headache! omg I feel like crap! "
negative, "@katebornstein which is pretty anti memorial tattoos   but for all but the strictest, there's no official BAN, just disapproving family"
negative, "What? Apparently it's 52 degress at 11pm in Washington State. I miss winter already "
negative, "Won't be tweeting much tonight   Maybe all tweets will come out in form of Tweet vomit later at about 1 in the morning."
negative, "damn its down. "
negative, "I am going to be 30 in a month...  Ugh "
negative, "@geoffmartinez youre going to be in mexico on easter?  why?"
negative, "@hebb I wish I could go to bed... "
negative, "http://twitpic.com/2y65i - Snow, the guy I'm seeing car at work...lmao...he gonna kill me "
negative, "@catdevnull nah, same one, rang up to see what progress was, someone else has offered but been rejected, they reckon 117-118+ to get it "
negative, "i'm hella breaking out "
negative, "@mattg00d i dont like you not having internet. You dont tweet as much. "
negative, "Its a grey day in London come back sun all is forgiven "
negative, "@alystoe  I hope you are okay"
negative, "Man! Did I had a wacky dream this early morning .... loggin here ... looks like ATS is spamming me with updates "
negative, "is off to Italy today! No more Starcraft for a couple of weeks though "
negative, "@moony394 LOL ugh that's so ominous, i hope i don't have to cry over idol this week too. fox hates me "
negative, "Oh man, I can't find a Tenori-On anywhere! What am I going to do?! "
negative, "Andre Riue on neighbours..what has the world come to...internets down  lol"
negative, "soluna is slower than accord "
negative, "I am still suffering from a headache which has been with me since yesterday afternoon. Feels like my head is in a vice  Not pleasant."
negative, "@Sixxjohn I'm the worst I know  but I'll be back soon"
negative, "@ivyclark - the name was ironic when first used (10/2/04), and it stuck (now over 5 years later). Of course, all irony is lost in time "
negative, "still feeling almost entirely overwhelmed by an uncomfortable desire for swift and violent revenge "
negative, "Had another amazing night with Tyler :* now off to work .... gotta make coffee for the early birds "
negative, "@aaamyzing well I hate alabaster "
negative, "just after waking up.. Im tired "
negative, "off to class... "
negative, "@Schofe are you and fern going to be on together soon? i miss your banter "
negative, "@weirdchina I hope you realize that your website is blocked by China.. I live in Wuhan and have to proxy in to your site "
negative, "I'm sick...   Those little dudes from the Mucinex commerials are throwing a party in my chest."
negative, "Ew the snow is still here! i have school today! "
negative, "god damn...these hurt ribs are seriously cramping my exercise style. "
negative, "@scroobiuspip you have my name.  it has made me very sad. I wanted to be twitter.com/scroobiuspip"
negative, "im sooo friggin borreeeed "
negative, "@lelebelle at this rate it's hard to tell when I'll get to  I feel asleep watching the so from 2 weeks ago! Not the shows fault though."
negative, "School again... "
negative, "Sick, i guess no FTSK show tonight. "
negative, "Sick as shit.  I really want to drink some water. :/"
negative, "@dtoews you'll have to wait a few more months... the backyard is still snowy. "
negative, "version near where I live. "
negative, "@joyanne Thanks...   Also: argh. And gah. And a bit of meh."
negative, "Nooooo it's too early to be up  I blame this on roscos little showdown with his water dish he just had."
negative, "@Casarina It's snowing today, like full Christmas kind of snow "
negative, "Hmm I'm trying to upload my picture but it isn't working "
negative, "Cat has an appt this afternoon at 3:45. She ate a little this morning. She's hiding right now. I'm worried. "
negative, "okay okay, I shall go to sleeo nowwww  Mom, could you please stop nagging me???"
negative, "@murri ohh!! I've been there (Old Spaghetti Factory)!! 'Cept it's been about 20 years... "
negative, "Feeling awful, not hangover ill but ILL and what am i doing for the rest of the day? Working "
negative, "&quot;Pack&quot; the duckling found safe but his webbed feet have been cut and a new one will still have to be made.  http://is.gd/rdfK"
negative, "@Zee For example, it simply won't send direct messages. Well, it will pretend it did, but it actually doesn't. Kind of a deal breaker "
negative, "@LadyLeamy Are you gonna actually spend anytime with me? I'm moving this weekend "
negative, "Feeling a little better, but sound a whole lot worse.     I wonder what this is?  Is there a doctor in the audience?!"
negative, "this elucidation is killllling  I can't find the right sources, so frustrating! This going to be a loooong night "
negative, "@Rio_Knights  My word processor doesnt work. So I have to type this crap in a stupid email."
negative, "@jamiexvx omg I love Animal Crossing so much. I was devistated when I realized I lost it when I moved "
negative, "These people are crazy!! Its like they are always watching me..waiting 4 my next mistake. They already attacked me multiple times tonight "
negative, "def. hates clowns a little more now... thank you little brother for that lovely video you assrat "
negative, "people on neopets ARE HORRIBLE people   "
negative, "@AmazingPhil nooooooooo  I can hug you though! that was random sorrrry! ^.^"
negative, "My former Edu/Phil prof, teacher of Critical Thinking has 2ndary liver cancer: announced her Reiki Master quals. I want to shoot myself. "
negative, "3 beautiful women here.  all taken. grr. lol"
negative, "im lonely  keep me company! 22 female, New Haven - Connecticut"
negative, "All this new snow and 70 is closed  I know I could take 285 but I almost slid off Kenosha pass a few years ago"
negative, "Its Another Rainboot day "
negative, "Just woke up! Soooooooooooooooooooo tired.... "
negative, "I hate the Fung Wah bus.. worse, my ipod music library mysertiously deleted   Apple Sucks and Fung Wah sucks. Boston till tomorrow... #fb"
negative, "why am I so tired, I only walked around and stayed up a little later... feel like an old lady "
negative, "I wish I knew people here so someone could bring me soup and meds  ill just sleep it off"
negative, "Not going to the baseball game with dakota today  but im watching brandon at 3."
negative, "Studying for a final...too bad it's beautiful outside "
negative, "Apparently One is not to take a B12 pill without eating first lol "
negative, "One more hour of painting and I'm done, for today anyway. I let my mini roller dry out &amp; it's making a right hash of rolling now "
negative, "would love to write w/ somebody !! in germany nobody uses twitter !! so sad "
negative, "Running on the tredmill was unsuccessful - I somehow hurt my foot "
negative, "was going to head to meet wilco...was going to go to orange and white game...i hear that neither is going to happen for me "
negative, "My Sony Vaio showing a problem with its exhaust fan... Need to get serviced urgently... "
negative, "@hannahindie I am procrastinating on that paper. I'm doing all other homework assignments before that paper because I dread it that much  "
negative, "has much to do today before her housewarming party! And she stupidly picked up a shift a month ago and will be hosting til 9 (hopefully). "
